mean_test_score,std_test_score,param_model__learning_rate,param_model__n_estimators,param_model__max_depth,param_model__min_child_weight,param_model__colsample_bytree,param_model__subsample,param_model__reg_alpha,param_model__reg_lambda
-275.0616872659451,49.14351437729835,0.08,1600,9,15,0.8,1.0,0.0,0.5
-281.4559563289101,40.61017582655799,0.08,800,3,7,0.9,0.9,0.6,0.6
-283.3899425628774,47.49894320837715,0.08,2000,11,19,0.8,0.9,0.0,0.5
-280.2862484000776,50.87454474690748,0.12,700,3,9,1.0,0.9,1.0,0.1
-277.6318020533711,53.15788761972794,0.12,450,3,9,0.8,1.0,0.6,0.5
-285.06071828599204,65.30852376802002,0.2,1400,11,3,1.0,1.0,1.0,0.5
-268.95863878119087,53.58675441662482,0.08,1200,7,7,0.8,0.8,0.2,0.1
-275.4104270719126,58.91801802470978,0.08,800,17,15,0.9,0.8,0.5,0.0
-279.78117627090205,48.350316023585805,0.2,800,7,15,0.9,1.0,1.0,0.0
-278.85393524412547,55.93623132731061,0.08,800,13,13,0.8,0.8,0.0,1.0
-284.1161877597625,29.057259288695395,0.17,2000,3,3,0.9,1.0,1.0,0.1
-373.8664131262873,59.33100736709284,0.17,300,1,7,1.0,0.9,0.5,0.0
-276.9761386087971,54.32667624856379,0.2,300,15,15,0.9,0.9,0.6,0.1
-332.004323686107,60.83230514709233,0.14,700,1,13,0.9,0.8,0.0,0.5
-278.29915555419564,37.05828631292048,0.1,700,3,5,0.8,0.8,0.0,0.1
-339.5948323948013,60.517488604059956,0.08,2000,1,5,1.0,1.0,0.0,0.6
-272.95825758073323,60.42040753023873,0.12,450,7,15,0.8,0.9,1.0,0.5
-282.9442526095738,71.07381136340095,0.04,1400,9,19,0.8,1.0,1.0,0.1
-286.52225825656546,64.09207794526105,0.12,600,19,19,0.8,0.9,0.5,0.6
-285.87808180471905,43.67083585388449,0.2,1000,9,19,0.9,0.8,0.2,0.5
-265.00729709074045,53.92103068474771,0.1,600,11,9,0.9,0.9,0.0,0.0
-283.41685903498035,54.33277713688815,0.1,450,13,3,1.0,0.9,0.6,0.6
-280.03728552227255,51.20364500582565,0.12,700,19,13,0.8,0.8,1.0,0.6
-304.9695296042305,38.64067663686384,0.08,600,3,5,1.0,0.9,1.0,0.5
-285.33384884694703,54.15165856662748,0.1,1200,11,19,0.9,0.9,0.5,1.0
-285.0797272254559,58.7823244354482,0.08,650,5,11,0.8,1.0,0.0,0.1
-276.36722537769367,49.247544629207546,0.08,1400,11,13,1.0,0.8,1.0,1.0
-276.8538508242264,66.94573340623546,0.08,1000,7,1,1.0,0.9,0.6,0.5
-267.498321116811,56.553051921195,0.1,2000,5,7,0.8,0.8,0.6,0.6
-274.22406616759855,54.570047615722764,0.1,450,19,5,1.0,1.0,0.6,0.1
-273.87448652376946,56.614214415762966,0.12,700,17,5,1.0,1.0,0.5,0.1
-287.8525502086187,50.684822733246484,0.14,650,19,19,0.9,0.8,0.5,0.5
-274.1837634320227,46.86289184149485,0.08,1200,17,9,1.0,0.9,0.6,0.0
-279.6110038734672,47.94026035684283,0.17,700,17,19,0.8,0.9,0.0,0.5
-280.7213023856978,28.774293318287786,0.14,1000,3,3,0.9,0.8,0.2,0.0
-273.48777657948517,48.74648774159216,0.14,650,15,15,1.0,0.8,0.0,1.0
-285.42418464049996,49.291432420322174,0.08,2000,17,19,0.8,0.9,0.6,0.6
-269.03834024546086,52.95019453147959,0.12,650,7,15,1.0,0.9,0.0,0.5
-272.2534342489863,53.78441038904427,0.04,600,11,5,1.0,1.0,0.2,1.0
-269.76784357587024,45.80737652237741,0.04,1200,19,7,0.9,0.9,1.0,0.0
-281.14059417254174,45.94829485090376,0.2,1600,7,17,0.8,0.9,0.0,0.6
-290.37624037176704,63.46528416080232,0.04,1000,17,11,0.9,1.0,1.0,0.5
-293.5778105435104,48.03482019563789,0.14,650,3,19,1.0,0.8,0.5,1.0
-289.0194372361017,70.36496839403056,0.04,1200,15,19,0.8,0.9,0.2,0.6
-280.63213359836845,69.50648025464963,0.04,1000,5,17,1.0,0.9,0.0,0.5
-337.7273652151207,66.9711566605789,0.08,1000,1,5,0.8,0.8,0.6,0.6
-280.4213080818458,45.75977341834522,0.14,800,11,11,0.9,0.8,0.2,1.0
-287.09042575103604,75.25381370164504,0.04,600,3,15,0.9,0.8,0.6,0.1
-271.90934664486565,48.23461799596871,0.12,1200,17,13,0.8,0.9,0.6,0.6
-293.91049494711484,50.764827768974115,0.1,1200,13,19,1.0,0.9,1.0,1.0
-289.1388835391436,49.22778877143796,0.2,1400,15,7,0.8,1.0,0.0,1.0
-266.0751357970106,39.99246921459921,0.12,1000,7,3,0.8,0.9,0.0,1.0
-327.8596797600529,90.97979064149844,0.14,800,1,3,0.8,0.8,0.5,0.5
-266.35647572245637,66.24908241041852,0.2,600,9,1,0.8,0.9,0.2,1.0
-274.6797211873372,46.46378270080045,0.2,2000,17,11,0.8,0.9,0.2,0.1
-269.60055868443476,60.39196107551405,0.17,650,19,7,0.8,0.8,0.5,1.0
-271.61193598679426,47.25704690646883,0.08,650,17,5,1.0,1.0,0.5,0.6
-272.8015749655665,49.55310133440594,0.17,1200,15,7,0.8,0.9,0.0,0.1
-280.1510073344625,42.898355960843645,0.14,1000,5,7,0.8,1.0,0.5,0.0
-370.3832575549819,68.70409612556229,0.08,600,1,15,0.9,1.0,1.0,0.0
